X,Y,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.7459540824331,-33.4111779035839,"COSTANERA NORTE & VICUNA MACKENNA, RENCA",0,1,0,0,1
-70.7456408039646,-33.4025068754142,"1522 VICUNA MACKENNA, RENCA",0,0,0,0,1
-70.747272005256,-33.4854952841386,"4201 LOS PAJARITOS, MAIPU",0,0,0,1,1
-70.7461257317005,-33.4363991219194,"SAN FRANCISCO & SAN ANDRES, PUDAHUEL",0,1,0,0,1
-70.7454885828284,-33.4056473268448,"VICUNA MACKENNA & JOSE MIGUEL INFANTE, RENCA",0,0,0,0,1
-70.7459650363298,-33.4321358285337,"MARTINICA & PRESIDENTE HARRY TRUMAN, PUDAHUEL",0,1,0,0,1
-70.7475652615077,-33.5161523435399,"4 ALAMOS & SEGUNDA TRANSVERSAL, MAIPU",0,0,0,1,1
-70.7444050721267,-33.3702572972126,"GABRIELA MISTRAL & ANTONIO VARAS, QUILICURA",0,0,0,1,1
-70.7441829106909,-33.3618194001859,"MANUEL ANTONIO MATTA & SAN ENRIQUE, QUILICURA",0,1,0,0,1
-70.745102413554,-33.4132189665037,"COSTANERA SUR & PROFESOR DARIO SALAZAR, CERRO NAVIA",0,0,0,2,1
-70.7464754265504,-33.4833421902486,"LOS PAJARITOS & JORGE DELANO, MAIPU",0,0,0,1,1
-70.7456517730292,-33.4819830577305,"4444 LOS PAJARITOS, MAIPU",0,0,0,1,1
-70.744819712161,-33.444768253564,"SAN PABLO & LOS EDILES, PUDAHUEL",0,1,0,0,1
-70.7455957033771,-33.5022473249503,"SEGUNDA TRANSVERSAL & PAMELA, MAIPU",0,0,0,1,1
-70.7427936938659,-33.3659872806719,"SAN LUIS & TOCONCE, QUILICURA",0,0,0,0,1
-70.7435419986867,-33.4223041188743,"MAPOCHO SUR & ISLAS AZORES, CERRO NAVIA",0,0,1,0,1
-70.7442785816444,-33.4596466646402,"288 ARCO IRIS, PUDAHUEL",0,0,0,1,1
-70.7423066981063,-33.3647405899414,"ESTERO NIFRE & SAN ENRIQUE, QUILICURA",0,0,0,1,1
-70.7443855496746,-33.4977283166035,"SEGUNDA TRANSVERSAL & AMERICO VESPUCIO, MAIPU",1,0,0,1,2
-70.7428450980199,-33.4299432330543,"JOSE JOAQUIN PEREZ & NICANOR MOLINARE, PUDAHUEL",1,0,0,2,3
-70.7427226822197,-33.4313517773162,"1223 NICANOR MOLINARE, PUDAHUEL",0,1,0,1,1
-70.7428187226117,-33.4388444640169,"1043 ISLA MIQUELON, PUDAHUEL",0,1,0,0,1
-70.7431292479272,-33.4618902950939,"LAGUNA SUR & KAWEL, PUDAHUEL",0,1,0,0,1
-70.742534826878,-33.4418604959185,"ALBERTO MERMOD & RICARDO VIAL, PUDAHUEL",0,0,0,1,1
-70.7426218856502,-33.4575056334751,"LA TRAVESIA & BOLIVIA, PUDAHUEL",0,0,0,1,1
-70.7416790216074,-33.4173342608686,"SALVADOR GUTIERREZ & HUELEN, CERRO NAVIA",0,2,0,0,2
-70.7405890588358,-33.4149868145918,"KASAMA & LA CAPILLA, CERRO NAVIA",0,1,0,0,1
-70.7408007178586,-33.4298998063192,"TENIENTE CRUZ & JOSE JOAQUIN PEREZ, CERRO NAVIA",0,0,0,2,2
-70.7408664857839,-33.4337315765821,"TENIENTE CRUZ & TOMAS ALBA EDISON, PUDAHUEL",0,1,0,0,1
-70.7410075380377,-33.4429460878334,"MAR CARIBE & TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
-70.7408374688824,-33.4376638745038,"1071 TENIENTE CRUZ, PUDAHUEL",0,1,0,0,1
-70.7406434457619,-33.4403359543087,"TENIENTE CRUZ & QUEBEC, PUDAHUEL",1,0,0,0,1
-70.7402508627949,-33.4228283074564,"MAPOCHO & HUELEN, CERRO NAVIA",0,0,0,1,2
-70.7405949788306,-33.4432945682558,"896 TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
-70.7412569853406,-33.4774817707595,"LOS PAJARITOS & LAS PARCELAS, MAIPU",0,1,0,3,3
-70.7405791585819,-33.44465652152,"TENIENTE CRUZ & SAN PABLO, PUDAHUEL",0,4,1,5,7
-70.740512574696,-33.4418618490435,"TENIENTE CRUZ & RICARDO VIAL, PUDAHUEL",0,0,0,1,1
-70.7408889414631,-33.4623095603692,"LAGUNA SUR & RAYEN, PUDAHUEL",0,0,0,1,1
-70.7395513203308,-33.4254984662651,"HUELEN & TENIENTE CRUZ, CERRO NAVIA",0,0,0,1,1
-70.7404502389444,-33.4753468104843,"LOS PAJARITOS & ARQUITECTO HUGO BRAVO, MAIPU",0,1,0,0,1
-70.7379065951018,-33.3666780636488,"GENERAL SAN MARTIN & SAN LUIS, QUILICURA",0,1,0,0,1
-70.7413800327637,-33.54165212082,"CAMINO A LONQUEN & SANTA MARTA, MAIPU",0,1,0,0,1
-70.7392276449621,-33.4502396483365,"CORONA SUECA & TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
-70.7402631199554,-33.510636961813,"ESQUINA BLANCA & DEL FERROCARRIL, MAIPU",0,0,0,1,1
-70.7390593472508,-33.4525867103653,"TENIENTE CRUZ & GENERAL OSCAR BONILLA, PUDAHUEL",0,0,1,1,2
-70.7401340844803,-33.5101067128806,"5 DE ABRIL & LUMEN, MAIPU",1,0,0,0,1
-70.7387506390774,-33.4543676024298,"TENIENTE CRUZ & CLAUDIO ARRAU, PUDAHUEL",0,0,0,1,1
-70.7378440425072,-33.4628482869154,"TENIENTE CRUZ & LAGUNA SUR, PUDAHUEL",0,0,0,1,3
-70.7382144671304,-33.4824753948881,"SIMON BOLIVAR & SANTA ROSA, MAIPU",0,0,0,1,1
-70.7369466370765,-33.4199978507264,"1634 RESBALON, CERRO NAVIA",0,0,0,1,1
-70.7373610900344,-33.4494271412411,"GABRIELA MISTRAL & PAULA JARAQUEMADA, LO PRADO",0,0,0,1,1
-70.736322646332,-33.4064793851029,"ESMERALDA & JOSE MIGUEL INFANTE, RENCA",0,0,0,1,1
-70.737350171345,-33.4682931039609,"LOS MARES & TENIENTE CRUZ, PUDAHUEL",0,0,0,1,1
-70.7370332242648,-33.4712825246246,"TENIENTE CRUZ & LOS PAJARITOS, PUDAHUEL",1,0,0,1,2
-70.7372019533372,-33.4985958002306,"LUMEN & EL ARENAL, MAIPU",0,1,0,0,1
-70.7370960280947,-33.5035301416005,"DEL FERROCARRIL & AMERICO VESPUCIO, MAIPU",0,0,0,1,1
-70.7340482138164,-33.3672190137742,"JOSE FRANCISCO VERGARA & LOS CARRERA, QUILICURA",0,0,0,1,1
-70.7365672123604,-33.495917329186,"LUMEN & 3 NORTE, MAIPU",0,0,0,1,1
-70.735977760314,-33.4685377880355,"7201 DIAGONAL DE LOS LAGOS, PUDAHUEL",0,0,0,1,1
-70.7347532103886,-33.4189373585065,"7230 SALVADOR GUTIERREZ, CERRO NAVIA",0,1,0,0,1
-70.735859675385,-33.4928250437575,"PRIMO DE RIVERA & LUMEN, MAIPU",0,0,0,1,1
-70.7344383546759,-33.4447335703817,"7100 SAN PABLO, LO PRADO",0,0,1,0,1
-70.7338665280604,-33.4295099836302,"7159 JOSE JOAQUIN PEREZ, CERRO NAVIA",0,0,0,1,1
-70.7332969950303,-33.4138444356635,"SANTOS LUIS MEDEL & COSTANERA SUR, CERRO NAVIA",0,0,0,1,1
-70.7322051179728,-33.3680383529739,"RAIMUNDO ROMO & JOSE FRANCISCO VERGARA, QUILICURA",0,0,1,0,1
-70.7336722961532,-33.4446180324047,"SAN PABLO & LOS COPIHUES, LO PRADO",0,0,0,1,1
-70.7326292976904,-33.4072975727446,"JOSE MIGUEL INFANTE & CLOTARIO BLEST RIFFO, RENCA",0,0,0,1,1
-70.7315780739969,-33.3624287592607,"DONA LETICIA & HORACIO RIED CARRERA, QUILICURA",0,0,0,1,1
-70.7325030784286,-33.4139366915456,"COSTANERA SUR & LAS TORRES, CERRO NAVIA",0,0,0,2,1
-70.7326185615521,-33.4246215680202,"CAUQUENES & FLORENCIA, CERRO NAVIA",0,0,0,1,1
-70.7315029319153,-33.3683998612888,"JOSE FRANCISCO VERGARA & LIBERTADOR BERNARDO O`HIGGINS, QUILICURA",0,1,0,0,1
-70.7333341769258,-33.490317319219,"ALASKA & CHECOSLOVAQUIA, MAIPU",0,0,0,1,1
-70.7325030538369,-33.4864151140419,"1829 LOS CANCILLERES, MAIPU",0,0,0,1,1
-70.7313426823803,-33.4610905722303,"LAS TORRES & LAGUNA SUR, PUDAHUEL",0,0,0,2,2
-70.7309715639934,-33.4445836268096,"SAN PABLO & LAS TORRES, LO PRADO",0,0,0,2,2
-70.7314219364285,-33.4683219627504,"LOS PAJARITOS & LAS TORRES, ESTACION CENTRAL",0,1,0,1,1
-70.7291967456082,-33.356681278374,"LIBERTADOR BERNARDO O`HIGGINS & LAS TORRES, QUILICURA",0,0,0,1,1
-70.7309227934857,-33.4459189871024,"631 LAS TORRES, LO PRADO",0,1,0,0,1
-70.7315335439919,-33.4793404783245,"LAS TORRES & SIMON BOLIVAR, MAIPU",0,0,0,1,1
-70.7304650430062,-33.4445365895919,"SAN PABLO & LOS CLARINES, LO PRADO",0,0,0,1,1
-70.7295416870253,-33.4142666040294,"COSTANERA SUR & SAN SEBASTIAN, CERRO NAVIA",0,0,0,1,1
-70.7297218159051,-33.4363585159771,"6686 SAN FRANCISCO, LO PRADO",0,1,0,0,1
-70.7292745343255,-33.4143514925127,"6866 COSTANERA SUR, CERRO NAVIA",0,0,0,1,1
-70.7289976663875,-33.4117761616883,"COSTANERA NORTE & TOTORAL BAJO, RENCA",0,0,0,0,1
-70.7291993729496,-33.4279158211297,"1450 EL PEUMO, CERRO NAVIA",0,0,0,1,1
-70.7278284194476,-33.3700923853158,"FILOMENA GARATE & ALMIRANTE CRISTOBAL COLON, QUILICURA",0,0,0,1,1
-70.727785591344,-33.4064993938764,"JOSE MIGUEL INFANTE & CONDELL, RENCA",0,0,0,0,1
-70.7306249826024,-33.5515423509756,"28 LAS ACACIAS, SAN BERNARDO",0,0,0,1,1
